City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
192,Yeppoon,AU,2019-11-12 03:29:07,-23.13,150.74,93.2,26,0,5.82,clear sky,0.0,0.0
193,Airai,TL,2019-11-12 03:29:08,-8.93,125.41,89.24,24,0,7.78,clear sky,0.0,0.0
194,Mount Gambier,AU,2019-11-12 03:29:08,-37.83,140.78,59.0,51,75,27.51,broken clouds,0.0,0.0
195,Alofi,NU,2019-11-12 03:29:08,-19.06,-169.92,80.6,69,75,5.82,broken clouds,0.0,0.0
196,Pisco,PE,2019-11-12 03:26:31,-13.71,-76.2,64.4,88,90,11.41,overcast clouds,0.0,0.0
197,Sierra Vista,US,2019-11-12 03:28:51,31.55,-110.3,64.99,59,90,9.17,overcast clouds,0.0,0.0
198,Caravelas,BR,2019-11-12 03:29:09,-17.73,-39.27,70.93,94,0,5.64,clear sky,0.0,0.0
199,Aksu,KZ,2019-11-12 03:29:09,52.04,76.93,23.0,67,100,13.42,overcast clouds,0.0,0.0
200,Tautira,PF,2019-11-12 03:29:09,-17.73,-149.15,84.2,62,40,9.17,scattered clouds,0.0,0.0
201,Ubud,ID,2019-11-12 03:29:09,-8.51,115.26,87.8,66,40,9.17,scattered clouds,0.0,0.0
202,Georgetown,GY,2019-11-12 03:25:34,6.8,-58.16,77.0,100,20,2.24,few clouds,0.0,0.0
203,Abha,SA,2019-11-12 03:29:10,18.22,42.5,57.2,47,0,11.41,clear sky,0.0,0.0
204,Faya,SA,2019-11-12 03:29:10,18.39,42.45,57.2,47,0,11.41,clear sky,0.0,0.0
205,Pavilosta,LV,2019-11-12 03:29:10,56.89,21.19,35.6,100,57,6.93,broken clouds,0.0,0.0
206,Esperance,AU,2019-11-12 03:29:10,-33.86,121.89,66.2,42,75,12.75,broken clouds,0.0,0.0
207,Cefalu,IT,2019-11-12 03:29:11,38.04,14.02,62.01,95,100,1.99,light rain,2.94,0.0
208,Conil,FR,2019-11-12 03:29:11,44.97,3.72,26.46,97,37,2.57,scattered clouds,0.0,0.0
209,Vostok,RU,2019-11-12 03:29:11,46.45,135.83,23.7,80,100,10.38,light snow,0.0,0.25
210,Abashiri,JP,2019-11-12 03:29:11,44.01,144.25,48.2,87,75,2.24,broken clouds,0.0,0.0
211,Port Blair,IN,2019-11-12 03:29:12,11.67,92.75,84.2,74,20,9.17,few clouds,0.0,0.0
212,Belyy Yar,RU,2019-11-12 03:29:12,53.6,91.39,8.6,65,26,6.71,scattered clouds,0.0,0.0
213,Thinadhoo,MV,2019-11-12 03:29:12,0.53,72.93,82.33,78,72,11.01,broken clouds,0.0,0.0
214,Medeiros Neto,BR,2019-11-12 03:29:12,-17.37,-40.22,71.47,85,0,11.14,clear sky,0.0,0.0
215,Cherskiy,RU,2019-11-12 03:29:13,68.75,161.3,20.1,78,90,3.53,overcast clouds,0.0,0.0
216,Phalodi,IN,2019-11-12 03:29:13,27.13,72.36,76.35,29,90,6.24,overcast clouds,0.0,0.0
217,Narsaq,GL,2019-11-12 03:29:13,60.91,-46.05,28.4,79,100,11.18,light snow,0.0,0.0
218,Portland,US,2019-11-12 03:29:13,43.66,-70.25,34.0,98,90,10.29,light intensity drizzle,0.0,0.0
219,Quatre Cocos,MU,2019-11-12 03:29:13,-20.21,57.76,77.0,94,75,5.82,light intensity shower rain,0.0,0.0
220,Karnobat,BG,2019-11-12 03:29:14,42.65,26.98,59.0,100,75,5.82,mist,0.0,0.0
221,Broadstairs,GB,2019-11-12 03:29:14,51.36,1.44,42.01,80,67,12.75,light rain,0.5,0.0
222,Ahuimanu,US,2019-11-12 03:29:14,21.44,-157.84,82.4,65,40,5.82,moderate rain,0.0,0.0
223,Porto Belo,BR,2019-11-12 03:29:14,-27.15,-48.54,71.6,83,75,12.75,light rain,0.0,0.0
224,Edgewater,US,2019-11-12 03:29:15,28.99,-80.9,73.0,88,75,3.2,broken clouds,0.0,0.0
225,Nioro,GM,2019-11-12 03:29:15,13.79,-15.05,78.46,22,0,1.54,clear sky,0.0,0.0
226,Maragogi,BR,2019-11-12 03:29:15,-9.01,-35.22,78.13,78,52,11.7,broken clouds,0.0,0.0
227,Henties Bay,NA,2019-11-12 03:29:15,-22.12,14.28,57.99,95,0,3.0,clear sky,0.0,0.0
228,San Cristobal,HN,2019-11-12 03:29:15,14.68,-86.92,66.09,91,15,2.08,light rain,0.25,0.0
229,Shevchenkove,UA,2019-11-12 03:29:15,49.7,37.18,46.4,100,90,2.24,fog,0.0,0.0
